title,brand_cnt1,brand_cnt2,actor1,actor1_fans,actor2,actor2_fans,director,director_top20,writer,writer_top20,theme,dengta_heat,platform_A,platform_Y,platform_T,platform_M,platform_other,playable_date,douban_rate,douban_rate_cnt,guduo_heat
扫黑风暴,14,4,孙红雷,3205.8,张艺兴,5097.4,五百,1,相若蒙,1,犯罪/剧情,1693319,0,0,1,0,,2021/8/9,7.1,360228,85.2
风起洛阳,30,,黄轩,1083.3,王一博,3988.2,谢泽,0,青枚、武聪,1,古装/悬疑,2538076,1,0,0,1,,2021/12/1,6.3,217111,86.45
赘婿,16,,郭麒麟,954,宋轶,937,邓科,1,秦雯、赵启辰、顾峥兴、杨雨晨、陈金鹏、纪桑柔、丁璐、张云宜,1,剧情/古装,2382703,1,0,0,0,,2021/2/14,6.3,255171,87.57
小舍得,36,,宋佳,1297.2,佟大为,2707.4,张晓波,1,周艺飞,1,剧情/家庭,1099503,1,0,0,0,,2021/4/11,6.5,73695,84.52
你是我的荣耀,24,,潘粤明,757.1,胡可,862.6,王之,1,顾漫,1,都市/爱情,2154402,0,0,1,0,咪咕、西瓜,2021/7/26,6.9,436067,90.19
司藤,7,,景甜,2616.3,张彬彬,1804.3,李木戈,0,汪洪、李旻,0,,,1,1,1,0,,2021/3/8,7,258928,84.56
王牌部队,17,,黄景瑜,2177.2,肖战,3117,刘岩、天毅,0,周志方、刘岩、胡坚,0,军旅,1750163,1,0,0,0,,2021/12/26,,,89.72
你是我的城池营垒,6,,马思纯,1654.2,白敬亭,3401.1,张彤,0,秦雯,1,爱情,1104676,1,1,1,0,,2021/3/11,7.2,187947,78.25
周生如故,3,,任嘉伦,2464,白鹿,1838.4,郭虎,0,墨宝非宝,0,爱情/古装,1730862,1,0,0,0,,2021/8/18,7.3,225377,74.11
对你的爱很美,18,,张嘉益,44.2,沙溢,1244.3,韩晓军,0,孙博、王欢,0,喜剧/家庭/都市,687266,0,0,0,1,,2021/7/13,5.3,12697,65.08
陪你一起长大,16,14,刘涛,4414,李光洁,739.5,陈昆晖,0,刘觅滢、吴际、蔡挥,0,家庭/都市,466179,0,0,0,1,,2021/3/28,4.9,10699,66.41
我们的新时代,15,,刘敏涛,484.3,王晓晨,1061.7,刘海波、吕行、吕赢、库尔班江、五百、徐纪周、张挺,1,侯蓓、鲁琦、韩辰辰、马郁、郑书聪、张挺、胡亚、司徒芃丽、蔚捷、王小枪,1,剧情,63927,1,1,1,0,,2021/6/16,7.4,20799,59.36
我是真的爱你,14,,刘涛,4414,杜淳,4090.8,吕行,0,丁丁、王宛平,0,家庭/爱情,623778,1,0,1,0,,2021/7/19,4.6,17007,76.83
理想之城,13,,孙俪,4270.4,赵又廷,1278,刘进,1,周唯、罗虹,1,都市/职场,1236387,1,0,0,0,,2021/8/12,7.5,88618,76.42
八零九零,13,,白敬亭,3401.1,吴倩,1323.9,徐纪周、易军,0,龙振宇,0,情感/都市,1078682,0,0,0,1,,2021/4/21,6.1,11963,64.33
爱在星空下,11,15,贾乃亮,6379.4,陈意涵,1981.5,陈畅,0,李花,0,爱情/都市,52457,1,1,1,0,,2021/3/17,4.1,1648,63.05
舍我其谁,9,,李兰迪,763,牛骏峰,1229.2,鞠觉亮、刘畅,1,刘畅、王维维,0,爱情,351059,0,1,0,0,,2021/9/8,4.4,9271,64.81
海洋之城,9,5,张翰,3934.7,王丽坤,1955.4,陈昆晖,0,张炭、任莎,0,,,0,0,0,1,,2021/3/23,,,56.95
甜蜜,8,,海清,1418.5,任重,909.4,阎建刚,0,宋方金、黄建、韩辰辰,0,都市/爱情/剧情,277750,1,0,1,1,,2021/2/18,5.4,3427,58.01
理智派生活,7,4,秦岚,1571.5,王鹤棣,1576.8,徐辅军,0,龙小山、陈琛、陈彤,0,爱情,844467,0,0,0,1,,2021/3/31,7,18502,60.09
心跳源计划,6,,宋茜,4920.5,罗云熙,2663.2,刘一志、韩冬,0,缪娟,0,爱情/剧情,519984,1,1,1,0,,2021/7/23,4.1,49597,70.82
我的砍价女王,5,,林更新,5353.7,吴谨言,1538.8,周晓鹏、林敏祥、马鸣,0,于小千、吴大毛,0,爱情,330596,1,1,1,0,,2021/9/3,2.9,14394,66.76
突围,5,,靳东,1550.7,闫妮,130.7,沈严、刘海波,1,周梅森,0,剧情,826144,1,1,1,0,,2021/10/21,5.2,41134,81.6
星辰大海,4,,刘涛,4414,林峯,781.7,余丁,0,苏晓苑,0,都市/情感,677497,0,1,0,0,,2021/10/30,4.7,15985,75.72
号手就位,4,,李易峰,6045.7,陈星旭,774.9,李路、张寒冰,0,应良鹏、丰杰、祖若蒙、薛天智,1,剧情/军旅,1030399,0,1,0,0,,2021/4/13,,,67.57
不惑之旅,4,,陈建斌,76.7,梅婷,201.6,韩杰,0,韩杰,0,都市/爱情,257024,1,1,1,0,咪咕,2021/11/16,4.8,8288,69.76
好好生活,2,,林雨申,,蔡文静,559.7,陈铭章、陈世峄,0,聂磊、陆雅馨、徐涛,0,都市/生活/爱情,447228,0,0,0,1,,2021/10/5,5.3,4197,66.5
我在他乡挺好的,1,,周雨彤,1380.4,孙千,503.5,李漠,0,虢爽、孙麒珺,1,剧情,740336,0,0,0,1,,2021/7/19,8.1,207994,66.2
温暖的味道,1,,靳东,1550.7,李乃文,,李云亮,0,谷凯、刘海,0,农村/剧情,68567,0,0,0,1,,2021/5/17,,,
婆婆的镯子,1,,蓝盈莹,1309.5,牛骏峰,1229.2,李昂,0,许璐艳、储敏、朱紫薇,0,家庭/剧情,68690,0,0,0,1,,2021/8/30,,,62.32
你好检察官,1,,孙怡,1087,张昊唯,,崔亮,0,刘小溪、刘筱悦、赵鹏,0,爱情,381829,0,1,0,0,,2021/9/8,4,8118,64.82
美好的日子,1,,王千源,185.3,童蕾,382.1,余丁,0,胡传阁,0,历史/年代/剧情,55863,1,1,1,0,,2021/6/3,,,57.53
半暖时光,1,,杨旭文,1000.8,许龄月,,金晔,0,谢彭,0,爱情/都市,500584,0,1,0,0,,2021/11/24,6.2,1789,66.43
阿坝一家人,1,,蒲巴甲,318.2,丁勇岱,,顾其铭,0,卢敏,0,剧情/家庭,58149,1,0,1,0,咪咕,2021/7/3,,,
梦华录,20,,刘亦菲,7002.9,陈晓,2414.1,杨阳,0,张巍,0,古装/爱情/励志/剧情,2407898,0,0,1,0,,2022/6/2,8,776320,86.14
警察荣誉,20,,张若昀,2724.7,白鹿,1838.4,丁黑,0,赵冬苓,0,刑侦/警匪,878684,1,0,0,0,,2022/5/28,8.5,222145,81.94
心居,17,,海清,1418.5,童瑶,934,滕华涛,0,滕肖澜,0,都市/家庭/剧情,1302743,1,0,0,0,,2022/3/17,5.6,38824,86.4
重生之门,15,,张译,1148.2,王俊凯,8207.6,杨冬,0,张金克,0,犯罪/悬疑,1713876,0,1,0,0,,2022/4/27,6.7,160326,85.46
女士的法则,15,,江疏影,2199,刘敏涛,484.3,李江明,0,梁宵,0,都市/爱情/职场,702382,0,0,1,0,央视网,2022/5/9,5.2,26916,71.47
请叫我总监,12,,林更新,5353.7,谭松韵,2441.2,姚婷婷,0,胡斐子,0,都市/爱情/职场,859735,0,1,0,0,,2022/4/29,6.6,46154,80.66
亲爱的小孩,12,,秦昊,1337.5,任素汐,119.8,胡坤,0,胡坤,0,家庭/剧情,916466,1,0,0,0,,2022/4/10,7.7,53830,84.05
与君初相识·恰似故人归,11,,迪丽热巴,7847.6,任嘉伦,2464,朱锐斌,0,李晶凌,0,爱情/仙侠/古装,2049391,0,1,0,0,,2022/3/17,5.8,191620,84.56
欢迎光临,10,,黄轩,1083.3,白百何,2486.7,李雪,1,袁子弹,0,爱情/都市,550799,0,0,1,0,,2022/5/18,6.4,50366,74.99
特战荣耀,9,,杨洋,5694.4,李一桐,1512.4,徐纪周,0,冯骥,0,剧情/军旅,1053061,1,1,1,0,,2022/4/5,7.1,53695,88.2
尚食,9,,许凯,1967.4,吴谨言,1538.8,王威,0,周末,0,爱情/古装,983724,0,0,0,1,,2022/2/22,5.5,28929,81.13
且试天下,9,,杨洋,5694.4,赵露思,2271.1,尹涛,0,张骁,0,爱情/古装/武侠,1593901,0,0,1,0,,2022/4/18,5.7,118947,85.56
关于唐医生的一切,9,,秦岚,1571.5,魏大勋,2567.6,温德光,0,王子,0,都市/医疗,194957,1,0,0,0,咪咕,2022/6/26,7.5,24946,76.51
风起陇西,9,,陈坤,9366.1,白宇,1171.1,路阳,0,金海曙,0,悬疑/历史/古装,934520,1,0,0,0,,2022/4/27,8.1,90134,82.3
遇见璀璨的你,8,,陈乔恩,7073.8,金瀚,1102.3,陈铭章,0,李捷,0,都市/爱情/剧情,314303,0,0,1,1,,2022/6/15,5.5,3845,68.22
你好呀，我的橘子恋人,8,,梁靖康,1175,孙千,503.5,邢潇,0,季雯,0,喜剧/爱情,155348,0,1,0,0,,2022/5/20,5.6,1937,65.56
没有工作的一年,8,,辣目洋子,1003.9,万鹏,,郭增友,0,孙婷婷,0,都市/爱情,434341,0,0,0,1,,2022/4/11,7.1,22085,67.07
暗夜行者,8,,李易峰,6045.7,宋轶 ,937,方婷婷,0,李遥策,0,犯罪/悬疑/警匪/谍战,933269,1,0,0,0,,2022/5/22,7.2,77791,81.85
猎罪图鉴,7,,檀健次,1150,张柏嘉,327.5,邢键钧,0,贾东岩,0,悬疑/犯罪,1682566,1,0,1,0,咪咕、西瓜,2022/3/6,7.5,277087,87.47
杠杆,7,,郭京飞,1140.3,于毅,502.5,刘光,0,刘光,0,犯罪/悬疑/刑侦,252181,1,1,1,0,bilibili,2022/5/3,4.4,3088,67.73
正青春,19,,吴谨言,1538.8,殷桃,461.7,牟晓杰,0,陈岚,0,都市/职场,1390846,0,1,0,0,,2021/1/24,4.2,20513,70.05
爱的理想生活,17,,殷桃,461.7,宋轶,937,李江明,0,金璐,0,喜剧/家庭/都市,505845,0,0,1,1,,2021/3/2,4.5,12324,69.83
巡回检查组,14,,韩雪,1289.9,于和伟,1159.2,李路,0,余飞,0,剧情/犯罪,1109229,0,1,0,0,,2020/12/13,6.9,70698,
暴风眼,13,,杨幂,11178.4,张彬彬,1804.3,于波,0,梁振华,0,家庭/剧情,590730,1,0,1,1,,2021/2/23,5.5,58195,74.28
假日暖洋洋,12,,姚晨,8403.6,白宇,1171.1,姚晓峰,0,陈多多,0,都市/情感/爱情,878904,1,0,0,0,,2021/1/25,6,24089,75.09
陪你漫步这个世界,9,,印小天,686.4,李诚儒,,王晓明,0,李亮,0,爱情/剧情,,1,1,1,0,西瓜,2020/3/13,,,47.63
这个世界不看脸,7,,张鲁一,481.2,吴倩,1323.9,王之,1,王芸,0,都市/爱情/励志,76489,1,0,1,0,,2021/1/11,3,3252,65.1
别想打扰我学习,5,,赖冠霖,887.9,李兰迪,763,陈飞宏,0,王佩,0,爱情/穿越,476675,1,0,0,1,,2021/3/10,5.2,8727,62.36
我的不惑青春,5,,梅婷,201.6,陈龙,375.2,王梓,0,陈晓冰,0,剧情/爱情,92610,1,0,0,1,,2020/12/11,,,
江山如此多娇,5,,罗晋,2044.6,袁姗姗,3010.5,安建,0,王成刚,0,爱情,330788,1,0,1,1,,2021/1/10,7.3,18583,58.57
了不起的女孩,4,,李一桐,1512.4,金晨,1265.4,邓珂,0,丁洁如、裘胜斌、文晔、杨富芝、陆洋、彭晓佼、孙妍、刘青青,0,剧情/爱情,718737,1,0,0,0,,2020/12/21,6.5,27968,64.41
当天真遇见爱情,3,,魏千翔,317.7,吴施乐,,綦晓卉,0,王梦琪、闫浩伦,0,喜剧/爱情,250793,0,0,0,1,,2021/1/18,,,51.41
装台,2,,张嘉益,44.2,闫妮,130.7,李少飞,0,马晓勇、陈彦,0,剧情/家庭,543731,0,0,0,1,央视网,2020/11/29,8,38515,69.21
大江大河第二部,2,,王凯,2267,杨烁,597.5,李雪 、黄伟,1,唐尧、毛珺琳、阿耐、马骋怡,0,剧情/历史,939787,1,1,1,0,,2020/12/20,8.8,176120,78.68
风起霓裳,1,,古力娜扎,2237.9,许魏洲,1500.6,陈家霖,0,梅英菊、王瑛、蓝云舒,0,爱情/古装,871756,0,1,0,0,,2021/1/27,4,26612,63.86
这就是生活,1,,刘恺威,1726.1,陈都灵,692.1,陶玲玲,0,肖翠娥、曹雨、文雨,0,剧情,181427,1,0,1,1,,2020/12/9,3.8,2813,59.45
